issuer,date,rating
00011292,15-Oct-1983,D
00011922,22-Sep-1984,B
00011922,02-Apr-1985,D
00013970,21-Oct-1984,AAA
00013970,23-Feb-2000,AA
00013970,28-Aug-2003,A
00013970,28-Dec-2003,BBB
00014764,21-Feb-1983,CCC
00014764,08-May-1984,D
00010889,21-Dec-1983,BB
00010889,02-Jul-1998,BBB
00014178,07-Nov-1983,A
00014178,07-Dec-2000,BBB
00014178,02-Feb-2003,B
00013702,25-May-1984,AAA
00013702,12-Jan-1989,AA
00013702,05-Jul-1991,BB
00013702,02-Jan-2000,D
00012931,28-Jul-1984,AA
00013291,11-Sep-1984,A
00013291,01-Aug-2000,BBB
00013510,21-May-1983,AA
00013510,16-Nov-1991,A
00013510,12-Sep-1994,BB
00013415,28-Jun-1984,CCC
00013415,03-Apr-1986,D
00012142,03-Jun-1984,B
00012142,18-May-1989,BB
00012142,25-Jan-1998,BBB
00013100,27-Jan-1983,B
00013100,23-Jul-1985,BB
00013100,05-Jul-1993,B
00013100,05-Apr-2001,CCC
00013100,07-Jul-2002,D
00011248,15-Dec-1982,BBB
00011248,11-Jun-1998,BB
00011248,26-Oct-1999,BBB
00014891,29-Dec-1983,A
00014891,16-Sep-1997,AA
00014891,12-Aug-1999,A
00014891,30-Jan-2002,BBB
00014891,07-Feb-2003,BB
00013649,04-Apr-1985,B
00013649,31-Oct-1997,BB
00014663,24-Jul-1983,BB
00014663,08-Jan-1987,BBB
00014663,08-Feb-1991,BB
00014663,06-Aug-1998,B
00014663,20-Feb-2002,D
00014946,25-Mar-1984,BBB
00014946,10-Nov-1985,D
00013060,30-Mar-1983,BB
00013060,22-Sep-1995,BBB
00013060,27-May-1996,A
00014166,08-Sep-1984,AAA
00014166,11-Jun-1997,AA
00014166,24-Jun-2000,A
00010866,30-Apr-1983,B
00010866,14-Aug-1997,BB
00011667,06-Jan-1984,BB
00011667,09-Jul-1996,BBB
00012767,17-Jul-1984,B
00012767,12-Oct-1993,BB
00012767,25-Sep-1996,A
00012905,25-Jan-1985,AA
00012905,16-Nov-1989,A
00012905,19-Feb-1995,BB
00012905,07-Apr-1998,BBB
00013078,04-Apr-1985,BBB
00013078,25-Mar-1989,BB
00013078,31-Oct-1990,A
00013313,16-Feb-1984,A
00013313,16-Sep-1987,BBB
00013313,28-Jan-1992,A
00012720,03-Jan-1983,AAA
00012720,08-Feb-1983,AA
00012720,19-Nov-1986,A
00012720,24-Nov-2001,BBB
00012090,14-Jan-1983,AAA
00012090,02-Apr-1990,AA
00012090,15-Mar-2001,A
00013733,02-May-1983,A
00013733,24-Dec-1987,BBB
00013733,07-Jul-1995,A
00012384,06-Dec-1984,BB
00012384,18-Jan-1998,BBB
00012384,18-Apr-2000,BB
00012384,01-May-2004,B
00014000,29-Apr-1983,BBB
00014000,31-May-1984,BB
00014000,03-Jan-1998,BBB
00014000,14-Nov-2002,BB
00014098,10-Nov-1984,A
00014098,04-Nov-2000,BBB
00010697,18-Apr-1983,BBB
00010697,04-Jul-1995,A
00010697,19-Mar-1999,BB
00012818,05-Mar-1985,B
00012818,03-Nov-1989,BB
00012818,01-Dec-1992,D
00013384,03-Aug-1983,B
00013384,19-Dec-1995,BB
00013384,23-Jan-1997,BBB
00013384,10-Sep-1997,A
00013384,21-Jun-2003,BBB
00014749,02-Mar-1983,BBB
00014749,11-Aug-2001,BB
00014749,31-Oct-2002,D
00014265,26-Apr-1983,AAA
00010840,25-Apr-1984,BB
00010840,16-Jan-2001,A
00010840,08-Aug-2001,AA
00013855,04-Dec-1983,AA
00013855,08-Jul-1988,BBB
00013855,17-Apr-1992,BB
00012342,05-Aug-1983,BB
00012342,22-May-1992,B
00012342,31-Aug-2001,D
00011943,26-Nov-1984,A
00011943,24-Nov-2001,AA
00012939,25-Mar-1984,BBB
00012939,03-Jan-1994,A
00012939,28-Mar-1997,AA
00012939,13-Feb-2000,A
00012939,04-Feb-2003,BBB
00010349,19-Feb-1984,BB
00010349,31-Oct-1997,BBB
00010349,08-Jan-2000,BB
00010349,07-Aug-2000,BBB
00011493,21-Feb-1985,AAA
00011493,06-Jul-1985,AA
00011211,31-May-1983,B
00011211,30-Jun-1985,BB
00011211,29-May-1989,BBB
00011211,13-Apr-1991,BB
00011211,31-May-1996,BBB
00011211,03-Feb-2000,A
00014479,13-Sep-1984,B
00014479,11-May-1990,BB
00014479,11-Feb-1998,A
00012447,10-Sep-1984,A
00012447,02-Mar-1988,AA
00014020,02-Sep-1983,BB
00014170,08-Mar-1984,BB
00014170,28-Jul-1997,BBB
00013041,01-Nov-1982,BBB
00013041,15-Apr-1991,BB
00012810,11-Oct-1982,B
00012810,20-Oct-1994,BB
00012810,15-Mar-1999,BBB
00014119,31-Jan-1984,CCC
00014119,09-Mar-1984,D
00013115,05-Oct-1984,BBB
00013115,20-Oct-1996,A
00013115,26-Apr-1998,AA
00013115,16-May-2004,A
00012000,09-Mar-1985,BB
00012000,04-Dec-1985,D
00012285,26-Dec-1982,A
00012285,29-Mar-2001,BBB
00014751,09-Mar-1984,CCC
00014751,30-Nov-1986,BB
00014751,25-Nov-1998,BBB
00014184,30-Nov-1983,BBB
00014184,01-Jun-1988,A
00014184,21-Oct-1998,BBB
00010634,29-Aug-1982,CCC
00010634,10-Jun-1983,D
00012686,21-Jul-1983,BB
00012686,18-Jan-1984,B
00012686,24-Apr-1986,BB
00012686,21-Mar-1996,BBB
00012686,13-Jul-1998,A
00012874,27-Jan-1983,B
00012874,10-Mar-1990,D
00011434,21-Oct-1984,BBB
00011434,04-Sep-1985,BB
00011434,17-May-1990,BBB
00010835,25-Jun-1983,BBB
00010835,07-Aug-1998,B
00010835,14-Jun-2001,BB
00014040,29-Jan-1984,BBB
00014040,01-Dec-1998,A
00014040,20-Feb-2001,AA
00011538,30-Jan-1983,BBB
00011538,11-May-1999,A
00011538,28-Jun-2002,BBB
00010447,11-Apr-1984,BB
00010447,26-Nov-1991,D
00010806,08-May-1983,AAA
00014088,02-Jun-1984,CCC
00014088,04-May-1989,BB
00014088,01-Nov-1999,B
00013177,07-Jul-1984,AAA
00013177,24-Mar-1985,AA
00013177,27-Jun-2003,A
00012005,04-Sep-1984,B
00012005,10-Feb-1985,D
00011307,11-Nov-1983,A
00011307,30-Jun-1998,AA
00011307,06-Oct-1999,A
00011307,25-Sep-2003,BBB
00010817,09-Nov-1982,BBB
00010817,31-Dec-1982,CCC
00010817,21-Jan-1986,D
00011253,04-Apr-1983,AA
00011253,16-Nov-1990,A
00011253,11-Jan-1998,AA
00012751,17-Feb-1985,CCC
00012751,19-May-1986,D
00014690,17-Jan-1983,A
00014690,31-May-2002,BBB
00012144,21-Nov-1984,BBB
00012144,25-Mar-1992,BB
00012144,07-May-1994,BBB
00012144,23-Jan-2000,BB
00012144,20-Aug-2001,AA
00012144,27-Dec-2003,A
00012937,07-Feb-1984,BBB
00012937,28-Dec-1984,BB
00012937,08-Mar-1988,BBB
00012937,19-Nov-2001,A
00014079,11-May-1985,BB
00014079,16-Mar-1993,B
00014079,23-Oct-1994,BB
00014079,18-Dec-1997,A
00014079,18-Sep-1998,AA
00014079,12-Feb-2001,A
00012744,04-Nov-1982,AA
00012744,07-Jun-1996,AAA
00012744,15-Jun-2002,AA
00010333,04-Nov-1983,AA
00010333,07-Sep-1984,A
00010333,19-Apr-2003,BBB
00013869,02-Dec-1982,BBB
00013869,20-Oct-1996,A
00013869,31-May-1998,BBB
00011387,06-Apr-1985,CCC
00011387,20-Nov-1994,B
00011387,29-Oct-1999,BB
00012530,22-Aug-1982,AA
00014064,01-Oct-1984,A
00014064,22-Jun-1993,BBB
00014064,19-Apr-1998,A
00014064,15-Jul-1999,AA
00010777,13-Nov-1984,CCC
00010777,24-Apr-1992,B
00010777,11-Oct-2000,CCC
00010777,15-Dec-2003,D
00010762,03-Jan-1985,B
00010762,03-Jan-1986,D
00013017,10-Nov-1982,A
00013017,02-Aug-1997,BBB
00013017,01-Jun-2001,BB
00012816,22-Sep-1983,A
00012816,13-Nov-1995,AA
00012816,24-Jul-2003,A
00014961,05-May-1983,B
00014961,25-Jan-1996,BB
00014961,04-Oct-1997,BBB
00014961,12-Aug-1998,B
00014961,28-Aug-1999,BB
00010819,26-Oct-1984,A
00010819,27-May-1987,AA
00010819,05-Jul-2003,A
00012919,23-Oct-1983,BB
00012919,03-Sep-1997,BBB
00012919,07-Jan-1998,A
00012919,25-Apr-1999,BBB
00012919,26-Mar-2000,AA
00013667,14-Feb-1985,CCC
00013667,13-May-1999,B
00013615,16-Feb-1983,BBB
00013615,19-Nov-1984,BB
00013615,02-Dec-1989,D
00014388,09-May-1983,BB
00014388,26-Sep-1988,B
00014388,02-Sep-1990,D
00013460,10-Jan-1983,AA
00013460,04-Jul-1988,AAA
00013460,21-Apr-1999,AA
00013460,08-Mar-2002,A
00014326,01-Jan-1983,BBB
00014326,25-May-1995,A
00014326,15-Apr-1996,AA
00014326,30-Mar-1997,AAA
00014326,23-Aug-1998,AA
00010507,04-Jan-1985,BBB
00010507,20-Dec-1997,A
00010507,13-Mar-2000,BBB
00012817,20-Mar-1984,CCC
00012817,15-Feb-1985,D
00012850,19-Feb-1984,AA
00012850,14-Sep-1997,AAA
00012850,30-Apr-1999,AA
00011712,10-Jan-1983,CCC
00011712,24-Sep-1989,D
00013499,18-Dec-1984,A
00013499,12-Aug-2000,BBB
00013499,19-Apr-2003,BB
00013499,26-Jun-2004,B
00014487,01-May-1984,AA
00014487,11-May-2002,AAA
00011722,04-Aug-1983,AA
00011722,12-Aug-1993,AAA
00011722,22-May-1999,AA
00013866,13-Jan-1984,B
00013866,21-Feb-1996,BB
00011665,24-Sep-1983,B
00011665,02-Jun-1997,BBB
00011665,03-Jul-1998,AA
00012678,02-Nov-1982,AAA
00011020,15-Apr-1983,CCC
00011020,28-Jan-1994,D
00012278,19-Dec-1982,AAA
00012278,03-Sep-1988,AA
00013378,18-Feb-1983,B
00013378,29-Jan-1987,BB
00013378,06-Jun-1992,BBB
00013378,16-Feb-1995,BB
00013378,08-Sep-1998,B
00013378,15-Oct-2000,CCC
00012436,15-Apr-1983,CCC
00012436,26-Mar-1989,B
00012436,05-Jul-1989,BB
00012436,08-Apr-1997,BBB
00012436,16-Jun-1997,A
00013846,09-Oct-1983,B
00013846,17-Sep-1992,BB
00013846,23-Sep-1996,BBB
00013846,11-Dec-2002,B
00013381,06-Oct-1982,BBB
00013381,25-Oct-1985,A
00013381,11-Jan-1997,AA
00010530,06-Feb-1985,CCC
00010530,25-Aug-1987,B
00010530,16-Nov-1997,BB
00010530,14-Sep-2000,B
00010530,02-Jun-2003,D
00014833,20-Mar-1985,AAA
00014833,26-Aug-1990,AA
00014833,21-Jan-2001,A
00014312,22-Dec-1983,CCC
00014312,07-Aug-1988,D
00014049,20-Dec-1983,BB
00014049,29-Mar-1997,BBB
00014049,25-Jun-1998,A
00014049,09-Nov-2003,BBB
00011049,22-Jul-1983,AAA
00011049,23-Sep-1998,AA
00010260,03-Feb-1985,A
00010260,29-Nov-2004,BBB
00010905,22-Aug-1983,B
00010905,27-Oct-1986,CCC
00010905,26-Sep-1989,D
00010797,07-Dec-1982,B
00010797,18-Dec-1982,BB
00010797,10-Dec-1985,B
00010797,25-Nov-1990,BB
00010797,27-Oct-1996,BBB
00010797,25-Dec-1996,A
00010797,08-Aug-2002,BBB
00012656,07-Oct-1984,BBB
00010394,12-Sep-1983,BBB
00010394,03-Sep-1998,A
00010394,01-Dec-2002,BBB
00012247,16-Apr-1983,CCC
00012247,16-May-1984,D
00010992,26-Sep-1983,B
00010992,03-Feb-2002,CCC
00010992,20-Jun-2003,D
00014535,22-Nov-1982,AA
00014535,29-Jun-1990,A
00010485,28-Dec-1982,A
00013482,17-Mar-1985,AAA
00013482,28-Aug-2000,AA
00011301,01-Apr-1985,A
00011301,28-Feb-2001,BBB
00013273,15-Mar-1984,CCC
00013273,17-Mar-1985,B
00013273,18-Sep-1990,D
00014393,16-Oct-1982,AAA
00014393,07-Dec-1988,AA
00014754,10-Apr-1983,A
00014754,11-Oct-1993,BBB
00014754,03-Nov-2000,A
00013819,06-Aug-1983,CCC
00013819,28-Mar-1985,D
00012550,17-Nov-1984,AA
00012550,01-Feb-2000,BBB
00012550,21-Mar-2004,BB
00014770,02-Sep-1982,CCC
00014770,30-Dec-1994,B
00014770,14-Apr-1996,BB
00013426,30-Sep-1982,B
00013426,03-May-1996,BB
00010644,03-Feb-1983,AA
00010644,12-Oct-1996,AAA
00010644,04-Apr-1998,AA
00014929,28-May-1984,AAA
00011139,19-Aug-1984,AAA
00011139,15-Apr-1991,AA
00011139,27-May-1998,AAA
00012503,27-May-1984,A
00014152,12-Nov-1983,BB
00013038,16-Feb-1984,A
00013038,10-Jul-1991,D
00014940,10-Jun-1983,A
00014940,01-Nov-2001,BBB
00010541,01-Sep-1984,AAA
00012684,23-Feb-1983,BBB
00012684,02-Nov-1992,A
00010890,05-Jul-1984,B
00010890,29-Sep-1984,D
00013661,17-Feb-1983,AA
00013661,29-Jan-1986,AAA
00013661,07-Apr-1989,AA
00011893,21-Aug-1983,A
00011893,23-Feb-1993,AA
00011893,05-Sep-1998,A
00011893,13-Dec-2002,BBB
00012542,05-May-1984,A
00012542,31-Aug-1995,BBB
00012542,17-Apr-1997,A
00012542,20-Jul-1998,AA
00012542,31-Oct-1999,A
00011393,07-Oct-1984,A
00011393,18-Mar-1992,BBB
00011393,02-Aug-2000,CCC
00011393,14-Oct-2003,D
00014138,07-Nov-1982,BBB
00014138,21-Aug-1986,BB
00014138,23-May-1997,BBB
00014138,23-Nov-2000,BB
00014955,05-Mar-1985,AA
00014955,08-Sep-1992,A
00014955,15-Aug-1997,AA
00014955,31-Aug-2004,A
00011058,02-Oct-1984,BBB
00011058,31-May-1994,A
00011058,04-Apr-2000,BBB
00014258,18-Dec-1983,AAA
00014258,14-Sep-1999,AA
00014581,28-Oct-1983,BBB
00014581,07-Oct-1996,A
00014581,15-Aug-1997,AAA
00010273,08-Nov-1983,AA
00010273,16-Apr-1987,BBB
00010273,10-Dec-2001,D
00014213,20-Jun-1983,B
00014213,26-May-1986,BBB
00014213,05-Nov-1995,A
00014213,24-Mar-1999,BBB
00013191,09-Jan-1984,B
00013191,29-Oct-1986,BB
00013191,29-Oct-1993,BBB
00013191,14-Aug-1994,A
00013191,06-May-1996,AA
00011500,11-Jan-1984,BBB
00011500,10-Oct-2000,A
00011196,13-Nov-1984,AA
00011196,05-May-2000,A
00011196,20-May-2001,AA
00011196,08-May-2003,A
00013916,21-Oct-1984,AAA
00013717,23-May-1984,BBB
00013245,31-Aug-1983,A
00013245,01-Feb-1985,BBB
00013245,03-Nov-1989,A
00013245,11-Dec-1990,BBB
00013245,17-Jul-1999,BB
00011587,07-Nov-1984,CCC
00011587,22-Sep-1985,D
00010949,02-Feb-1984,CCC
00010949,30-Jul-1984,D
00011055,04-Aug-1983,AAA
00011055,13-Mar-1987,A
00011055,22-Apr-1994,AA
00011055,24-Sep-1998,A
00013956,14-Mar-1985,AA
00013956,13-Oct-2003,A
00012340,10-Jan-1985,BB
00012340,23-Mar-1994,BBB
00012340,03-Feb-1998,A
00012340,03-Feb-1999,AA
00012340,19-Dec-2000,A
00011626,19-Feb-1984,AA
00011626,27-Aug-1989,A
00011626,14-Apr-1997,BBB
00011970,02-May-1984,CCC
00011970,25-Dec-1991,D
00010152,27-Mar-1984,B
00010152,27-Oct-1986,BB
00010152,20-Jul-1997,A
00010781,13-Mar-1983,A
00010781,13-Nov-1990,BB
00010781,05-Aug-1999,BBB
00012152,15-Jun-1983,BB
00012152,03-Sep-1984,CCC
00012152,10-Sep-1985,D
00011159,02-Dec-1983,BB
00011159,21-Apr-1996,BBB
00013897,05-Apr-1983,CCC
00013897,17-Apr-1994,B
00013897,09-Aug-1999,BB
00010313,10-Dec-1984,BB
00010313,30-Jun-1999,A
00010313,01-Jul-2000,BBB
00010313,03-Jan-2001,A
00010313,11-Jul-2002,BBB
00012622,28-Feb-1983,A
00012622,20-Aug-1985,AA
00012622,27-Oct-1996,AAA
00012622,11-Dec-1998,AA
00012707,01-Apr-1983,BBB
00012707,09-Jun-1985,A
00012707,17-Mar-2001,BBB
00012707,13-Oct-2001,A
00013490,04-Feb-1983,B
00013490,04-Jan-2000,BB
00013490,27-Sep-2000,BBB
00014318,02-Apr-1983,B
00014318,28-May-1985,BB
00014318,21-Apr-1996,BBB
00014318,07-Apr-1998,BB
00010706,28-Oct-1983,AA
00010706,07-Jan-1987,A
00010706,08-May-1994,AA
00010706,20-Dec-1997,AAA
00010706,23-Nov-1998,AA
00013188,25-Jun-1983,BBB
00013188,13-Jan-1999,BB
00012052,27-Feb-1985,AA
00012052,20-Feb-2001,A
00014447,22-Oct-1983,A
00014116,19-Feb-1983,B
00014116,19-Apr-1983,CCC
00014116,17-Apr-1986,D
00013703,08-Feb-1985,AA
00011144,24-Apr-1985,BBB
00011144,23-Jun-1998,A
00011144,23-May-1999,AA
00011144,11-Jan-2001,BB
00012038,31-Oct-1983,AA
00012038,11-Apr-1984,BB
00012038,05-May-1991,CCC
00012038,08-Jun-2002,D
00014289,07-Dec-1982,CCC
00014289,25-Oct-1985,BB
00014289,20-Jan-1991,B
00014289,22-Mar-1996,BB
00014289,29-Dec-2001,CCC
00012909,03-May-1983,CCC
00012909,24-Jun-1984,D
00012456,01-Oct-1983,BBB
00012456,25-Oct-1996,A
00012456,07-Dec-1998,BBB
00012602,04-Apr-1984,AAA
00012602,10-Jan-2000,BBB
00012602,26-Feb-2004,B
00013663,07-May-1983,AA
00013663,12-Nov-1986,A
00013663,11-Mar-1997,AA
00014172,12-Apr-1984,B
00014172,05-Jul-1985,D
00013150,29-Jul-1984,B
00013150,01-Jan-1997,BB
00013150,11-Dec-1998,BBB
00014712,27-Mar-1983,B
00014712,06-Dec-1989,BB
00014712,06-Mar-1993,BBB
00014712,14-Jun-1993,A
00011262,13-Dec-1982,BBB
00011262,14-Sep-1991,A
00011262,20-Jun-1994,BBB
00011438,10-Jun-1983,BB
00011438,14-Mar-1992,D
00012517,03-Jul-1983,CCC
00012517,20-May-1990,D
00012361,16-Oct-1983,AAA
00012361,10-Jan-2002,AA
00012566,08-Jan-1984,CCC
00012566,16-Dec-1984,D
00010190,11-Nov-1982,B
00010190,20-Nov-1984,BB
00010190,03-Jun-1998,BBB
00014419,07-May-1983,AA
00012639,27-Oct-1984,AAA
00014085,16-Sep-1982,CCC
00014085,07-Aug-1991,B
00014085,15-Nov-1996,BB
00013803,04-Mar-1985,BB
00013803,07-Aug-1987,BBB
00013803,01-Jul-2004,BB
00010757,18-Aug-1984,AA
00010757,14-Mar-1991,AAA
00011737,20-Dec-1983,CCC
00011737,17-Oct-1999,D
00012733,19-Mar-1984,CCC
00012733,09-Aug-1989,B
00012733,01-Nov-1997,BB
00012733,07-Mar-1999,BBB
00012733,16-Jan-2003,BB
00014114,12-Apr-1983,BB
00014114,03-Feb-1996,BBB
00014114,26-Mar-1997,A
00014114,17-Jun-1997,AA
00014114,12-Dec-1998,A
00011270,20-Nov-1983,A
00011270,15-Aug-1993,BB
00011270,15-Sep-1994,BBB
00011270,26-Jul-1997,AA
00011270,20-Mar-1999,A
00014669,08-Apr-1985,BB
00014669,20-Apr-2000,D
00011523,16-Feb-1984,CCC
00011523,31-Mar-1985,D
00013789,21-Jan-1984,A
00013789,04-May-2002,BBB
00011682,06-Apr-1983,BBB
00011682,06-Feb-1984,BB
00011682,28-Feb-2002,D
00011566,20-Dec-1983,BB
00011566,02-Jun-1997,BBB
00011075,03-May-1984,BBB
00011075,28-Apr-1988,BB
00011075,16-May-1993,BBB
00011075,13-Mar-1995,A
00011075,12-Nov-1997,AAA
00011075,25-Apr-2003,A
00011483,27-Jun-1984,AAA
00011483,14-May-2002,AA
00010950,17-Sep-1983,B
00010950,14-Nov-1989,BB
00010950,23-Jan-1991,B
00010950,08-Oct-1996,BB
00010950,26-Feb-1999,B
00010197,20-Aug-1983,BB
00010197,27-Jan-1991,B
00010197,17-Dec-1995,BBB
00010197,19-Jul-1997,A
00010197,16-Feb-1998,AA
00010197,06-May-2003,A
00014342,02-May-1985,CCC
00014342,31-Dec-1985,D
00014649,24-Sep-1982,BBB
00014649,24-Jul-1989,B
00014649,27-Dec-2001,D
00013797,20-Jan-1985,CCC
00013797,28-Oct-1985,D
00012992,17-Feb-1985,AA
00012992,17-Jul-1986,A
00012992,10-Mar-1999,AA
00012992,31-Dec-2004,A
00011239,22-Oct-1984,B
00011239,12-Oct-1997,BB
00011239,04-Dec-1998,BBB
00014288,24-Nov-1982,AA
00014288,28-May-1984,A
00014288,26-Aug-2001,BBB
00013685,07-May-1983,BBB
00013685,16-Jun-1987,A
00011659,19-Jul-1983,B
00011659,31-Jul-1985,BB
00011659,27-Dec-1992,A
00011659,04-Sep-1995,AA
00012867,28-Jun-1984,BBB
00012867,18-Jun-1987,BB
00012867,07-Jun-1998,BBB
00012867,03-Jun-2000,BB
00012867,22-Jun-2004,B
00012236,01-Jan-1983,CCC
00012236,10-Sep-1990,D
00014586,08-Aug-1984,A
00014696,02-Dec-1982,AAA
00014696,15-Aug-1998,AA
00014696,16-Apr-2002,A
00012233,02-Jun-1984,BB
00014675,25-Dec-1983,A
00014859,05-Oct-1984,AA
00014859,29-Oct-1995,A
00012539,02-Aug-1984,CCC
00012539,11-Jan-1986,D
00013698,07-Feb-1985,A
00013698,24-Aug-1997,AA
00012464,25-Jan-1985,AAA
00010827,18-Jul-1983,CCC
00010827,31-Jan-1993,B
00010827,30-Apr-1998,BB
00010827,23-Feb-2000,BBB
00012815,17-Jul-1984,AAA
00012815,27-Jun-1992,BBB
00011474,04-Mar-1983,CCC
00011474,20-Oct-1985,D
00013237,17-Sep-1982,AA
00012234,31-Aug-1984,AAA
00012234,17-Jul-1992,AA
00013607,31-Dec-1983,BB
00013607,13-Feb-2002,B
00012420,11-Dec-1983,AA
00012420,03-Oct-1990,A
00012420,02-Dec-1991,BB
00012420,05-Mar-1998,BBB
00012168,08-Feb-1985,BB
00012168,08-Jan-1987,B
00012168,13-Oct-1987,BB
00012168,31-Oct-1989,BBB
00012168,17-Oct-1990,BB
00012168,25-Nov-2000,B
00012832,19-Apr-1984,A
00012832,29-Oct-1996,BBB
00012832,20-Jan-2003,BB
00011345,27-Apr-1984,AA
00011345,28-Oct-1997,AAA
00013627,25-Dec-1984,AAA
00013627,21-Nov-1985,A
00013627,09-Feb-2004,BB
00011323,01-Nov-1984,AAA
00011323,08-Sep-1989,AA
00013986,17-Mar-1984,AA
00013986,20-May-1999,A
00013986,21-Dec-2002,BBB
00011541,17-Feb-1983,A
00011541,04-Aug-1995,AA
00011541,26-Sep-1998,A
00011541,29-Jun-2000,AA
00010593,15-Apr-1983,A
00010593,09-Sep-1995,AA
00010593,07-Jan-2000,AAA
00011353,21-Jan-1985,B
00011353,05-Jan-1992,BB
00011353,08-Dec-1997,BBB
00011353,01-Sep-1999,A
00011353,10-Jan-2004,BBB
00014806,15-Sep-1982,BBB
00014806,05-May-1983,BB
00014806,25-Jun-1984,B
00014806,08-Aug-1993,BB
00014806,06-Dec-1993,B
00014806,21-Oct-1996,BB
00014806,15-Jul-1999,BBB
00012422,21-Dec-1983,AAA
00012422,24-May-1984,AA
00012668,02-Feb-1983,BBB
00012668,25-Oct-1992,A
00012668,09-Jan-1999,BBB
00012668,21-May-2002,BB
00014735,23-Apr-1985,A
00012663,31-Jul-1984,AA
00012663,22-Nov-1996,A
00012663,17-Feb-2000,BBB
00012663,18-Feb-2004,BB
00014552,31-Dec-1983,CCC
00014552,21-Aug-1984,D
00013465,02-Dec-1983,BBB
00013465,07-Jul-1992,BB
00013465,29-Jan-1995,B
00013465,03-May-1998,BB
00013465,15-Apr-1999,B
00011141,16-Oct-1982,A
00011141,14-Nov-1994,AA
00011141,10-Jan-1998,A
00014283,30-Jun-1984,BBB
00014283,27-Jun-1992,BB
00013793,29-Sep-1982,BB
00013793,26-Aug-1986,B
00013793,14-Jul-1996,BBB
00012791,28-Oct-1982,CCC
00012791,16-Dec-1982,D
00010206,22-Jan-1984,B
00010206,10-Aug-1996,BB
00010206,10-Feb-1998,BBB
00010886,22-Nov-1982,B
00010886,26-Jul-1985,BB
